neuron_type,laps,replays,skew
NeuronType.PYRAMIDAL,-0.9702143173357184,-1.0,0.9702143173357184
NeuronType.PYRAMIDAL,-0.19143659382419356,-1.0,0.19143659382419356
NeuronType.PYRAMIDAL,-0.4608612373169903,-0.8469322604789463,0.5441535986081932
NeuronType.CONTAMINATED,-0.15882195656472273,-0.748028935647619,0.21232060552205761
NeuronType.PYRAMIDAL,-0.39018501538253975,-0.738484885938602,0.5283588368726343
NeuronType.PYRAMIDAL,-0.8528880987423244,-0.6711093897902075,1.2708630093954458
NeuronType.PYRAMIDAL,-0.3694916701306294,-0.6351742913086489,0.5817169793968929
NeuronType.PYRAMIDAL,-0.45931021248911647,-0.614725277679204,0.7471796413239552
NeuronType.PYRAMIDAL,-0.8832086802388411,-0.6121423792000513,1.4428157733385814
NeuronType.PYRAMIDAL,-0.3795150469988499,-0.5642048362792957,0.6726547214688892
NeuronType.PYRAMIDAL,-0.6909536581276665,-0.5544363971030195,1.2462270906779607
NeuronType.PYRAMIDAL,0.07280824164317423,-0.5456662728605164,-0.13342998324139693
NeuronType.PYRAMIDAL,-0.8677769147802422,-0.5390143054973907,1.609932994226334
NeuronType.PYRAMIDAL,-0.21823661167038397,-0.5174213998511668,0.42177732063876455
NeuronType.PYRAMIDAL,-0.18614774188685532,-0.4988765747195095,0.37313385979591407
NeuronType.PYRAMIDAL,0.28624116300818464,-0.4893497640768211,-0.5849418637162125
NeuronType.INTERNEURONS,0.19397634441685024,-0.4811529246900613,-0.4031490498406546
NeuronType.PYRAMIDAL,-0.18111222576960265,-0.4529169901155216,0.39987951373475283
NeuronType.PYRAMIDAL,0.10992562302522642,-0.41010337435877636,-0.2680436931227459
NeuronType.PYRAMIDAL,-0.18942867327396898,-0.3926224021871859,0.4824703639392877
NeuronType.PYRAMIDAL,0.1525303407982985,-0.35107936581280197,-0.43446113799700997
NeuronType.CONTAMINATED,-0.18590405018953146,-0.32390495239157896,0.573946303744026
NeuronType.PYRAMIDAL,-0.03895729727500505,-0.32222265158199836,0.12090179595921828
NeuronType.CONTAMINATED,-0.028403966731705203,-0.32029635512719407,0.08868026837341186
NeuronType.CONTAMINATED,-0.1379246865778498,-0.3085254020312276,0.44704483219145
NeuronType.PYRAMIDAL,0.4288090315571574,-0.29695444745716953,-1.4440229308874235
NeuronType.PYRAMIDAL,-0.12069423992191332,-0.26497751002633224,0.45548861829790493
NeuronType.PYRAMIDAL,-0.045313034677402164,-0.2616117051309505,0.1732072143129857
NeuronType.PYRAMIDAL,-0.5216522391219734,-0.25929068851299036,2.0118433180674704
NeuronType.CONTAMINATED,0.16195701707888424,-0.25809090054617045,-0.6275192838498055
