format_name,animal,exper_name,session_name,path,session_datetime,experience_rank,experience_orientation_rank,session_uid,is_bad_session,good_only_experience_rank,good_only_experience_orientation_rank,is_excluded,is_known_good
kdiba,vvp01,two,2006-4-19_16-37-40,W:/Data/KDIBA/vvp01/two/2006-4-19_16-37-40,2006-04-19 16:37:40,24,13,kdiba|vvp01|two|2006-4-19_16-37-40,False,15,9,False,False
kdiba,vvp01,one,2006-4-19_16-48-9,W:/Data/KDIBA/vvp01/one/2006-4-19_16-48-9,2006-04-19 16:48:09,25,11,kdiba|vvp01|one|2006-4-19_16-48-9,True,-1,-1,True,False
kdiba,vvp01,one,2006-4-21_10-24-35,W:/Data/KDIBA/vvp01/one/2006-4-21_10-24-35,2006-04-21 10:24:35,26,12,kdiba|vvp01|one|2006-4-21_10-24-35,True,-1,-1,True,False
kdiba,vvp01,two,2006-4-21_11-19-2,W:/Data/KDIBA/vvp01/two/2006-4-21_11-19-2,2006-04-21 11:19:02,27,14,kdiba|vvp01|two|2006-4-21_11-19-2,False,16,10,False,False
kdiba,vvp01,two,2006-4-25_13-20-55,W:/Data/KDIBA/vvp01/two/2006-4-25_13-20-55,2006-04-25 13:20:55,28,15,kdiba|vvp01|two|2006-4-25_13-20-55,False,17,11,False,False
kdiba,vvp01,one,2006-4-25_14-28-51,W:/Data/KDIBA/vvp01/one/2006-4-25_14-28-51,2006-04-25 14:28:51,29,13,kdiba|vvp01|one|2006-4-25_14-28-51,True,-1,-1,True,False
kdiba,vvp01,one,2006-4-25_17-17-6,W:/Data/KDIBA/vvp01/one/2006-4-25_17-17-6,2006-04-25 17:17:06,30,14,kdiba|vvp01|one|2006-4-25_17-17-6,True,-1,-1,True,False
kdiba,vvp01,two,2006-4-25_17-33-28,W:/Data/KDIBA/vvp01/two/2006-4-25_17-33-28,2006-04-25 17:33:28,31,16,kdiba|vvp01|two|2006-4-25_17-33-28,True,-1,-1,True,False
kdiba,vvp01,one,2006-4-26_13-22-13,W:/Data/KDIBA/vvp01/one/2006-4-26_13-22-13,2006-04-26 13:22:13,32,15,kdiba|vvp01|one|2006-4-26_13-22-13,True,-1,-1,True,False
kdiba,vvp01,two,2006-4-26_13-51-50,W:/Data/KDIBA/vvp01/two/2006-4-26_13-51-50,2006-04-26 13:51:50,33,17,kdiba|vvp01|two|2006-4-26_13-51-50,False,18,12,False,False
kdiba,vvp01,one,2006-4-27_14-43-12,W:/Data/KDIBA/vvp01/one/2006-4-27_14-43-12,2006-04-27 14:43:12,34,16,kdiba|vvp01|one|2006-4-27_14-43-12,False,19,6,False,False
kdiba,vvp01,two,2006-4-27_18-21-57,W:/Data/KDIBA/vvp01/two/2006-4-27_18-21-57,2006-04-27 18:21:57,35,18,kdiba|vvp01|two|2006-4-27_18-21-57,True,-1,-1,True,False
kdiba,vvp01,one,2006-4-28_12-17-27,W:/Data/KDIBA/vvp01/one/2006-4-28_12-17-27,2006-04-28 12:17:27,36,17,kdiba|vvp01|one|2006-4-28_12-17-27,True,-1,-1,True,False
kdiba,vvp01,two,2006-4-28_12-38-13,W:/Data/KDIBA/vvp01/two/2006-4-28_12-38-13,2006-04-28 12:38:13,37,19,kdiba|vvp01|two|2006-4-28_12-38-13,False,20,13,False,False
kdiba,vvp01,one,2006-4-28_16-48-29,W:/Data/KDIBA/vvp01/one/2006-4-28_16-48-29,2006-04-28 16:48:29,38,18,kdiba|vvp01|one|2006-4-28_16-48-29,True,-1,-1,True,False
kdiba,vvp01,two,2006-4-28_17-6-14,W:/Data/KDIBA/vvp01/two/2006-4-28_17-6-14,2006-04-28 17:06:14,39,20,kdiba|vvp01|two|2006-4-28_17-6-14,True,-1,-1,True,False
kdiba,gor01,one,2006-6-07_11-26-53,W:/Data/KDIBA/gor01/one/2006-6-07_11-26-53,2006-06-07 11:26:53,0,0,kdiba|gor01|one|2006-6-07_11-26-53,True,-1,-1,True,False
kdiba,gor01,two,2006-6-07_16-40-19,W:/Data/KDIBA/gor01/two/2006-6-07_16-40-19,2006-06-07 16:40:19,1,0,kdiba|gor01|two|2006-6-07_16-40-19,False,0,0,False,True
kdiba,gor01,one,2006-6-08_14-26-15,W:/Data/KDIBA/gor01/one/2006-6-08_14-26-15,2006-06-08 14:26:15,2,1,kdiba|gor01|one|2006-6-08_14-26-15,False,1,0,False,True
kdiba,gor01,two,2006-6-08_15-46-47,W:/Data/KDIBA/gor01/two/2006-6-08_15-46-47,2006-06-08 15:46:47,3,1,kdiba|gor01|two|2006-6-08_15-46-47,False,2,1,False,False
kdiba,gor01,two,2006-6-08_21-16-25,W:/Data/KDIBA/gor01/two/2006-6-08_21-16-25,2006-06-08 21:16:25,4,2,kdiba|gor01|two|2006-6-08_21-16-25,True,-1,-1,True,False
kdiba,gor01,one,2006-6-09_1-22-43,W:/Data/KDIBA/gor01/one/2006-6-09_1-22-43,2006-06-09 01:22:43,5,2,kdiba|gor01|one|2006-6-09_1-22-43,False,3,1,False,True
kdiba,gor01,one,2006-6-09_3-23-37,W:/Data/KDIBA/gor01/one/2006-6-09_3-23-37,2006-06-09 03:23:37,6,3,kdiba|gor01|one|2006-6-09_3-23-37,False,4,2,False,False
kdiba,gor01,two,2006-6-09_22-24-40,W:/Data/KDIBA/gor01/two/2006-6-09_22-24-40,2006-06-09 22:24:40,7,3,kdiba|gor01|two|2006-6-09_22-24-40,True,-1,-1,True,False
kdiba,gor01,one,2006-6-12_15-55-31,W:/Data/KDIBA/gor01/one/2006-6-12_15-55-31,2006-06-12 15:55:31,8,4,kdiba|gor01|one|2006-6-12_15-55-31,False,5,3,False,True
kdiba,gor01,two,2006-6-12_16-53-46,W:/Data/KDIBA/gor01/two/2006-6-12_16-53-46,2006-06-12 16:53:46,9,4,kdiba|gor01|two|2006-6-12_16-53-46,False,6,2,False,True
kdiba,gor01,one,2006-6-13_14-42-6,W:/Data/KDIBA/gor01/one/2006-6-13_14-42-6,2006-06-13 14:42:06,10,5,kdiba|gor01|one|2006-6-13_14-42-6,False,7,4,False,False
kdiba,gor01,two,2006-6-13_15-22-3,W:/Data/KDIBA/gor01/two/2006-6-13_15-22-3,2006-06-13 15:22:03,11,5,kdiba|gor01|two|2006-6-13_15-22-3,False,8,3,False,False
kdiba,pin01,one,fet11-01_12-58-54,W:/Data/KDIBA/pin01/one/fet11-01_12-58-54,2006-11-01 12:58:54,0,0,kdiba|pin01|one|fet11-01_12-58-54,False,0,0,False,True
