,lap_dir,start,stop,lap_id,label,duration
0,0,4.018594717067085,5.877531140797913,1,1,1.8589364237308281
1,1,6.739669281065776,8.926856999984011,2,2,2.187187718918235
2,0,45.19598900002893,50.86995399999432,3,3,5.673964999965392
3,1,65.78501800005324,72.22304000006989,4,4,6.438022000016645
4,0,84.41898035092808,91.04423800006043,5,5,6.625257649132351
5,1,106.42597800004296,112.25211906292002,6,6,5.826141062877056
6,0,244.12987900001463,250.6713560000062,7,7,6.541476999991573
7,1,260.41408900008537,274.4818513513727,8,8,14.067762351287342
8,0,281.0545152416047,290.7781890000915,9,9,9.723673758486825
9,1,308.89554100006353,313.9354160000803,10,10,5.039875000016764
10,0,359.9917522394122,365.1182630000403,11,11,5.1265107606280935
11,1,370.6238660000963,375.99589600006584,12,12,5.372029999969527
12,0,399.6536330000963,406.3599460000405,13,13,6.706312999944203
13,1,415.70415800006595,422.1770840000827,14,14,6.4729260000167415
14,0,428.28481099999044,435.3231089999899,15,15,7.038297999999486
15,1,441.1640250000637,445.83473400003277,16,16,4.670708999969065
16,0,462.88447799999267,470.1920500000706,17,17,7.307572000077926
17,1,475.35397631550825,486.8563774855498,18,18,11.502401170041537
18,0,491.3133510000771,496.6188424502793,19,19,5.305491450202226
19,1,503.55904200009536,509.79774400009774,20,20,6.238702000002377
20,0,515.8695237488421,520.1758230000269,21,21,4.306299251184782
21,1,528.4499579999829,533.0216939999955,22,22,4.571736000012606
22,0,536.8546212280219,541.4660049883996,23,23,4.611383760377748
23,1,546.4034540000139,550.8454015673973,24,24,4.441947567383409
24,0,555.4117989999941,563.0876333861004,25,25,7.675834386106317
25,1,566.217908023298,570.0298083744219,26,26,3.8119003511238816
26,0,574.0993680791954,580.2354170000181,27,27,6.136048920822645
27,1,584.5415960000828,588.648741663824,28,28,4.107145663741221
28,0,644.3000650000758,651.5328619704037,29,29,7.232796970327854
29,1,684.4070870000869,687.989841653622,30,30,3.582754653535062
30,0,841.0995350000449,847.1747431813551,31,31,6.075208181310245
31,1,855.0143010000465,857.8195575790036,32,32,2.805256578957028
32,0,872.7311740000732,878.2033650000812,33,33,5.472191000008024
33,1,890.0149020000827,895.4879920000676,34,34,5.47308999998495
34,0,905.4977090000175,910.8024300000397,35,35,5.304721000022255
35,1,918.2433310000924,921.4174985669471,36,36,3.174167566854635
36,0,925.5602264288997,929.7590072624652,37,37,4.198780833565479
37,1,936.1631970000453,940.3125298704313,38,38,4.149332870385933
38,0,944.4031880000839,949.5229778704295,39,39,5.119789870345585
39,1,957.917912999983,961.3956530428463,40,40,3.4777400428633882
40,0,965.5109414680184,972.4284492342155,41,41,6.9175077661971045
41,1,982.8411990000168,992.618730999995,42,42,9.777531999978237
42,0,995.8208260000683,1000.9909492342155,43,43,5.170123234147127
43,1,1007.2496250225412,1017.707685555296,44,44,10.458060532754871
44,0,1039.9332799999975,1046.5532987006247,45,45,6.62001870062727
45,1,1049.1428880000021,1053.9171964186205,46,46,4.774308418618375
46,0,1064.0253169999924,1067.4939512646151,47,47,3.4686342646227786
47,1,1070.9641370261481,1074.3991335553228,48,48,3.4349965291746685
48,0,1087.5484220000217,1090.7820925552742,49,49,3.233670555252502
49,1,1095.5216270000674,1100.1166149826536,50,50,4.59498798258619
50,0,1108.6133050174171,1115.0241024099744,51,51,6.410797392557242
51,1,1120.9815200000303,1123.8813695553338,52,52,2.89984955530349
52,0,1151.4447970000328,1156.0516686831422,53,53,4.606871683109375
53,1,1172.9018730000826,1176.7782468373111,54,54,3.8763738372285843
54,0,1183.2662940087937,1186.0756238339936,55,55,2.8093298251999386
55,1,1201.461907000048,1204.420451495208,56,56,2.958544495159913
56,0,1334.7641140000196,1339.9350190000841,57,57,5.170905000064522
57,1,1354.2495070000878,1357.6565532650482,58,58,3.4070462649603996
58,0,1380.8437930000946,1383.9707369273817,59,59,3.1269439272871296
59,1,1391.0200920000207,1393.4424373974782,60,60,2.4223453974575477
60,0,1395.924374000053,1399.9660252650417,61,61,4.041651264988786
61,1,1404.6439853440618,1410.7406020000344,62,62,6.096616655972639
62,0,1472.7363130000886,1476.1112525299955,63,63,3.3749395299068965
63,1,1478.4242348675075,1482.4050811988066,64,64,3.9808463312990625
64,0,1487.88522200007,1491.953895728692,65,65,4.068673728622116
65,1,1494.4816789402726,1498.215342397498,66,66,3.733663457225475
66,0,1500.496809000033,1504.0127793312608,67,67,3.5159703312278907
67,1,1509.338183999993,1511.7460645299705,68,68,2.4078805299775468
68,0,1514.8200290726672,1519.2920530598742,69,69,4.472023987206967
69,1,1522.6192799999844,1526.100269331208,70,70,3.4809893312235545
70,0,1528.9598930000793,1532.0517543418925,71,71,3.091861341813228
71,1,1535.2649669999955,1538.757640341845,72,72,3.4926733418494678
72,0,1542.739746974533,1546.1007333706832,73,73,3.3609863961501105
73,1,1557.6551810000092,1560.6136468562245,74,74,2.958465856215298
74,0,1562.6812818019812,1567.330103000044,75,75,4.648821198062706
75,1,1579.7157040575262,1582.8700848562357,76,76,3.1543807987095533
76,0,1585.0753382025016,1592.0307727975578,77,77,6.955434595056204
77,1,1594.4608958835568,1598.461982000037,78,78,4.001086116480337
78,0,1604.6685200000647,1606.8291097577394,79,79,2.160589757674643
79,1,1609.3015436411422,1613.3753105981655,80,80,4.073766957023281
80,0,1620.117293999996,1625.0080854785558,81,81,4.890791478559777
81,1,1628.7922030000482,1632.0314974387036,82,82,3.2392944386554063
82,1,1654.084704963234,1657.3741569944712,83,83,3.2894520312372606
